-0.18;0.00;0.79;-0.11;-0.09;-0.99;0.30;0.18;0.12;0.15;0.05;-0.99;
-0.37;-0.43;0.37;-0.10;-0.09;-0.98;0.24;0.49;-0.37;0.14;0.05;-0.98;
0.12;-0.12;-0.12;-0.10;-0.08;-0.99;0.85;0.30;0.43;0.15;0.05;-1.00;
-1.04;0.00;0.61;-0.10;-0.09;-0.98;0.73;0.18;0.00;0.14;0.06;-0.98;
0.00;0.00;0.12;-0.10;-0.09;-0.98;0.37;0.18;0.06;0.14;0.05;-0.99;
-0.12;-0.37;0.00;-0.10;-0.09;-0.99;0.30;0.18;0.18;0.15;0.05;-0.98;
0.30;0.00;-0.61;-0.10;-0.08;-0.99;-0.06;0.24;-0.06;0.13;0.05;-0.99;
-0.18;-0.06;-0.18;-0.10;-0.09;-0.99;0.18;0.30;0.24;0.14;0.06;-0.99;
0.18;0.00;0.00;-0.10;-0.10;-0.98;0.37;0.18;0.49;0.14;0.05;-0.98;
-0.18;0.12;-0.55;-0.10;-0.09;-0.98;0.85;0.37;0.30;0.14;0.06;-0.99;
-0.18;-0.43;0.24;-0.10;-0.09;-0.98;0.37;0.12;0.12;0.15;0.05;-0.98;
-0.18;0.30;0.12;-0.10;-0.09;-0.98;0.18;0.30;0.37;0.15;0.05;-0.99;
0.00;-0.55;0.06;-0.10;-0.09;-0.99;0.37;0.12;0.61;0.14;0.06;-0.99;
0.00;-0.49;-0.12;-0.10;-0.08;-0.98;0.61;1.10;0.37;0.14;0.06;-0.99;
-0.49;-0.30;-0.18;-0.10;-0.08;-1.00;0.49;0.24;0.18;0.14;0.05;-0.98;
-0.18;-0.12;0.43;-0.09;-0.09;-0.99;1.22;0.55;0.18;0.15;0.05;-0.99;
2.74;-0.79;-0.30;-0.10;-0.09;-0.98;-0.43;0.55;0.18;0.13;0.05;-0.99;
-0.73;-0.12;0.37;-0.11;-0.09;-0.99;-1.28;0.91;0.55;0.15;0.05;-0.99;
0.00;-0.98;-0.43;-0.10;-0.08;-0.98;1.83;1.77;0.85;0.15;0.06;-1.00;
-0.91;-0.12;0.30;-0.10;-0.09;-0.98;1.22;0.30;0.43;0.14;0.06;-0.99;
-0.37;0.12;0.24;-0.10;-0.09;-0.99;0.79;0.73;0.00;0.15;0.05;-0.99;
